StationCode,Date,Sample_ID,Parameter,Fraction,Units,Result,Method_Detection_Limit,Reporting_Limit,Watershed,Site,Water_Year ,Event_Tyoe
CUA-PVD-01,11/20/2016,ME000000128,E. coli,None,MPN/100mL,2650,1,1,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,11/21/2016,ME000000129,Copper,Total,ug/L,36,0.5,0.5,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,11/21/2016,ME000000129,Copper,Dissolved,ug/L,28.5,0.5,0.5,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,11/21/2016,ME000000129,Lead,Total,ug/L,6.4,0.2,0.5,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,11/21/2016,ME000000129,Lead,Dissolved,ug/L,1.58,0.2,0.5,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,11/21/2016,ME000000129,Zinc,Total,ug/L,267,1,1,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,11/21/2016,ME000000129,Zinc,Dissolved,ug/L,190,1,1,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,11/21/2016,ME000000129,Hardness as CaCO3,Total,mg/L,113,2,2,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,12/16/2016,CIMP000000333,Lead,Total,ug/L,5.24,0.2,0.5,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,12/16/2016,CIMP000000333,Lead,Dissolved,ug/L,0.236,0.2,0.5,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,12/16/2016,CIMP000000333,Copper,Total,ug/L,10.1,0.5,0.5,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,12/16/2016,CIMP000000333,Copper,Dissolved,ug/L,4.02,0.5,0.5,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,12/16/2016,CIMP000000333,Zinc,Total,ug/L,53.5,1,1,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,12/16/2016,CIMP000000333,Zinc,Dissolved,ug/L,24.2,1,1,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,12/16/2016,CIMP000000333,Hardness as CaCO3,Total,mg/L,15,2,2,Los Cerritos,County Island ,Water_16_17,Wet
CUA-PVD-01,12/16/2016,CIMP000000332,E. coli,None,MPN/100mL,1126,1,1,Los Cerritos,County Island ,Water_16_17,Wet
DUPME08,12/16/2016,ME000000334,E. coli,None,MPN/100mL,1187,1,1,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,12/1/2016,ME000000129_000NONPJ,Hardness as CaCO3,Total,mg/L,295,2,2,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Copper,Total,ug/L,82.7,0.5,0.5,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Lead,Total,ug/L,29.2,0.2,0.5,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Zinc,Total,ug/L,202,1,1,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Copper,Dissolved,ug/L,62.9,0.5,0.5,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Lead,Dissolved,ug/L,17,0.2,0.5,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Zinc,Dissolved,ug/L,169,1,1,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Copper,Total,ug/L,82.3,0.5,0.5,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Lead,Total,ug/L,28.9,0.2,0.5,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Zinc,Total,ug/L,202,1,1,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Copper,Dissolved,ug/L,61.5,0.5,0.5,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Lead,Dissolved,ug/L,16.8,0.2,0.5,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Zinc,Dissolved,ug/L,167,1,1,Los Cerritos,County Island ,Water_16_17,Wet
000NONPJ,11/21/2016,ME000000129_000NONPJ,Hardness as CaCO3,Total,mg/L,55,2,2,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/9/2016,ME000000129_LABQA,Hardness as CaCO3,Total,mg/L,125,2,2,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/9/2016,ME000000129_LABQA,Hardness as CaCO3,Total,mg/L,ND,2,2,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/12/2016,ME000000129_LABQA,Copper,Total,ug/L,953,0.5,0.5,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/12/2016,ME000000129_LABQA,Lead,Total,ug/L,64.1,0.2,0.5,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/12/2016,ME000000129_LABQA,Zinc,Total,ug/L,1410,1,1,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/12/2016,ME000000129_LABQA,Copper,Dissolved,ug/L,1060,0.5,0.5,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/12/2016,ME000000129_LABQA,Lead,Dissolved,ug/L,65.4,0.2,0.5,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/12/2016,ME000000129_LABQA,Zinc,Dissolved,ug/L,1550,1,1,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/12/2016,ME000000129_LABQA,Copper,Total,ug/L,ND,0.5,0.5,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/12/2016,ME000000129_LABQA,Lead,Total,ug/L,ND,0.2,0.5,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/12/2016,ME000000129_LABQA,Zinc,Total,ug/L,ND,1,1,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/12/2016,ME000000129_LABQA,Copper,Dissolved,ug/L,ND,0.5,0.5,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/12/2016,ME000000129_LABQA,Lead,Dissolved,ug/L,ND,0.2,0.5,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/12/2016,ME000000129_LABQA,Zinc,Dissolved,ug/L,ND,1,1,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/1/2016,ME000000129_LABQA,E. coli,None,MPN/100mL,ND,1,1,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/1/2016,ME000000129_LABQA,E. coli,None,MPN/100mL,ND,1,1,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/1/2016,ME000000129_LABQA,E. coli,None,MPN/100mL,ND,1,1,Los Cerritos,County Island ,Water_16_17,Wet
LABQA,12/1/2016,ME000000129_LABQA,E. coli,None,MPN/100mL,ND,1,1,Los Cerritos,County Island ,Water_16_17,Wet
